campaign_id,source_file,source_sha256,source_ordinal,line_number,scenario,requested,admitted,rejected,no_space,retry,other,waves,concurrency_cap,bootstrap_samples,fresh_samples,initial_fresh_attempts,ordinary_progress
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-04.txt,6291cde425dbf107b85e545f0427490ab7853bd460383c05ae49831dc641d2c2,4,180,4,4,4,0,0,0,0,1,4,1,3,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-04.txt,6291cde425dbf107b85e545f0427490ab7853bd460383c05ae49831dc641d2c2,4,199,44,4,4,0,0,0,0,1,4,1,3,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-05.txt,02dc1f222bcc5d979d4ad55eeb77c5faf3223080b68de71dce029e6adc22de8b,5,71,1,1,1,0,0,0,0,1,4,1,0,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-05.txt,02dc1f222bcc5d979d4ad55eeb77c5faf3223080b68de71dce029e6adc22de8b,5,80,2,2,2,0,0,0,0,1,4,1,1,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-05.txt,02dc1f222bcc5d979d4ad55eeb77c5faf3223080b68de71dce029e6adc22de8b,5,94,3,3,3,0,0,0,0,1,4,1,2,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-05.txt,02dc1f222bcc5d979d4ad55eeb77c5faf3223080b68de71dce029e6adc22de8b,5,161,16,16,16,12,12,0,0,4,4,4,12,15,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-05.txt,02dc1f222bcc5d979d4ad55eeb77c5faf3223080b68de71dce029e6adc22de8b,5,180,4,4,4,0,0,0,0,1,4,1,3,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-05.txt,02dc1f222bcc5d979d4ad55eeb77c5faf3223080b68de71dce029e6adc22de8b,5,199,44,4,4,0,0,0,0,1,4,1,3,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-06.txt,66c8b620617ba355ce50a39f269b9f302f88d3d02b624801b343524e5b25795e,6,71,1,1,1,0,0,0,0,1,4,1,0,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-06.txt,66c8b620617ba355ce50a39f269b9f302f88d3d02b624801b343524e5b25795e,6,80,2,2,2,0,0,0,0,1,4,1,1,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-06.txt,66c8b620617ba355ce50a39f269b9f302f88d3d02b624801b343524e5b25795e,6,94,3,3,3,0,0,0,0,1,4,1,2,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-06.txt,66c8b620617ba355ce50a39f269b9f302f88d3d02b624801b343524e5b25795e,6,161,16,16,16,12,12,0,0,4,4,4,12,15,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-06.txt,66c8b620617ba355ce50a39f269b9f302f88d3d02b624801b343524e5b25795e,6,180,4,4,4,0,0,0,0,1,4,1,3,0,0
agentos-advanced-figures-20260811,raw/serial/agent-eevdf-boot-06.txt,66c8b620617ba355ce50a39f269b9f302f88d3d02b624801b343524e5b25795e,6,199,44,4,4,0,0,0,0,1,4,1,3,0,0
